N,method,dim,p50_ms,p95_ms,p99_ms,q,memory_mb,notes
1000,exact-cosine,tfidf,1.1310650006635115,1.411058599478564,2.0955155098454266,500,510,sparse dot
1000,filtered-cosine,tfidf,1.7355610007143696,3.759639749114237,11.538495499407873,500,513,graph-filter≈1000
1000,annoy,256,0.018806999833032023,0.026477749634068456,0.03243936036597005,500,554,20 trees
1000,faiss-hnsw,256,0.08133150095090969,0.12747649852826726,0.17475662078140847,500,560,"M=32, ef=200"
3218,exact-cosine,tfidf,3.0597000004490837,4.379213299671391,5.4831765204289695,500,560,sparse dot
3218,filtered-cosine,tfidf,1.6426575002697064,2.160940099929576,2.4292931603304164,500,560,graph-filter≈1000
3218,annoy,256,0.02212000072177034,0.03401235017008729,0.03713408985277055,500,588,20 trees
3218,faiss-hnsw,256,0.13822849996358855,0.20598055079972247,0.2553464700940821,500,588,"M=32, ef=200"
