child,parent,source
us-gaap:FiniteLivedIntangibleAssetsUsefulLife,us-gaap:NoncurrentAssets,auto
us-gaap:FiniteLivedIntangibleAssetsUsefulLifeMaximum,us-gaap:NoncurrentAssets,auto
us-gaap:FiniteLivedIntangibleAssetsUsefulLifeMinimum,us-gaap:NoncurrentAssets,auto
us-gaap:FiniteLivedIntangibleAssetsWeightedAverageUsefulLife,us-gaap:NoncurrentAssets,auto
us-gaap:FinitelivedIntangibleAssetsAcquired1,us-gaap:NoncurrentAssets,auto
us-gaap:Goodwill,us-gaap:NoncurrentAssets,auto
us-gaap:IncomeTaxExaminationInterestExpense,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxExaminationPenaltiesAndInterestExpense,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxExaminationPenaltiesExpense,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxExpenseBenefitContinuingOperations,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxHolidayIncomeTaxBenefitsPerShare,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxReconciliationMinorityInterestIncomeExpense,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxReconciliationNondeductibleExpense,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxReconciliationNondeductibleExpenseOther,us-gaap:IncomeTaxExpenseBenefit,auto
