parent,child,source
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxCreditCarryforwards,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsResearch,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsValuationAllowance,auto
us-gaap:Liabilities,us-gaap:DeferredTaxLiabilities,auto
us-gaap:Liabilities,us-gaap:DeferredTaxLiabilitiesCurrent,auto
us-gaap:Liabilities,us-gaap:DeferredTaxLiabilitiesDeferredExpenseCapitalizedInterest,auto
us-gaap:Assets,us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,auto
us-gaap:Liabilities,us-gaap:DeferredTaxLiabilitiesInvestments,auto
us-gaap:Liabilities,us-gaap:DeferredTaxLiabilitiesNoncurrent,auto
us-gaap:Liabilities,us-gaap:DeferredTaxLiabilitiesOther,auto
us-gaap:Liabilities,us-gaap:DeferredTaxLiabilitiesUndistributedForeignEarnings,auto
us-gaap:Liabilities,us-gaap:DerivativeLiabilitiesCurrent,auto
us-gaap:Liabilities,us-gaap:EmployeeRelatedLiabilitiesCurrent,auto
us-gaap:OperatingExpenses,us-gaap:EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,auto
us-gaap:OperatingExpenses,us-gaap:EmployeeStockOwnershipPlanESOPCompensationExpense,auto
us-gaap:Revenues,us-gaap:EntityWideRevenueMajorCustomerPercentage,auto
us-gaap:Assets,us-gaap:FairValueAssetsLevel1ToLevel2TransfersAmount,auto
us-gaap:Assets,us-gaap:FairValueAssetsLevel2ToLevel1TransfersAmount,auto
us-gaap:Assets,us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings,auto
us-gaap:Assets,us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,auto
us-gaap:Assets,us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncome,auto
us-gaap:Assets,us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,auto
us-gaap:Assets,us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,auto
us-gaap:Assets,us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,auto
us-gaap:Assets,us-gaap:FairValueNetAssetLiability,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsAccumulatedAmortization,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsAcquired,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsAmortizationExpense,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsGross,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsNet,auto
us-gaap:Assets,us-gaap:FinitelivedIntangibleAssetsAcquired1,auto
us-gaap:Assets,us-gaap:ForeignCurrencyContractAssetFairValueDisclosure,auto
us-gaap:Liabilities,us-gaap:ForeignCurrencyContractsLiabilityFairValueDisclosure,auto
us-gaap:Assets,us-gaap:ForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstrumentsAssetAtFairValue,auto
us-gaap:Liabilities,us-gaap:ForeignCurrencyFairValueHedgeLiabilityAtFairValue,auto
us-gaap:OperatingExpenses,us-gaap:ForeignIncomeTaxExpenseBenefitContinuingOperations,auto
us-gaap:OperatingExpenses,us-gaap:FutureAmortizationExpenseYearOne,auto
us-gaap:OperatingExpenses,us-gaap:FutureAmortizationExpenseYearTwo,auto
us-gaap:Assets,us-gaap:GainLossOnDispositionOfAssets1,auto
us-gaap:Assets,us-gaap:GainLossOnSaleOfOtherAssets,auto
us-gaap:Assets,us-gaap:ImpairmentOfIntangibleAssetsExcludingGoodwill,auto
us-gaap:OperatingExpenses,us-gaap:IncomeLossFromSubsidiariesTaxExpenseBenefit,auto
us-gaap:OperatingExpenses,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:OperatingExpenses,us-gaap:IncomeTaxExpenseBenefitContinuingOperations,auto
us-gaap:Assets,us-gaap:IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,auto
us-gaap:OperatingExpenses,us-gaap:IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,auto
us-gaap:Liabilities,us-gaap:IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,auto
us-gaap:Liabilities,us-gaap:IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,auto
us-gaap:Assets,us-gaap:IncreaseDecreaseInOtherOperatingAssets,auto
us-gaap:Assets,us-gaap:IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,auto
us-gaap:Assets,us-gaap:IntangibleAssetsNetExcludingGoodwill,auto
us-gaap:OperatingExpenses,us-gaap:InterestExpense,auto
us-gaap:OperatingExpenses,us-gaap:InterestIncomeExpenseNet,auto
us-gaap:OperatingExpenses,us-gaap:LeaseAndRentalExpense,auto
us-gaap:Liabilities,us-gaap:LesseeOperatingLeaseLiabilityPaymentsDue,auto
us-gaap:Liabilities,us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,auto
us-gaap:Liabilities,us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,auto
us-gaap:Liabilities,us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueYearFive,auto
us-gaap:Liabilities,us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueYearFour,auto
us-gaap:Liabilities,us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueYearThree,auto
us-gaap:Liabilities,us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,auto
us-gaap:Liabilities,us-gaap:LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,auto
us-gaap:Liabilities,us-gaap:LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,auto
us-gaap:Liabilities,us-gaap:LiabilitiesFairValueDisclosure,auto
us-gaap:Liabilities,us-gaap:LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,auto
us-gaap:OperatingExpenses,us-gaap:MarketingAndAdvertisingExpense,auto
us-gaap:Assets,us-gaap:NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,auto
us-gaap:OperatingExpenses,us-gaap:OperatingLeaseExpense,auto
us-gaap:Liabilities,us-gaap:OperatingLeaseLiability,auto
us-gaap:Liabilities,us-gaap:OperatingLeaseLiabilityCurrent,auto
us-gaap:Liabilities,us-gaap:OperatingLeaseLiabilityNoncurrent,auto
us-gaap:Assets,us-gaap:OperatingLeaseRightOfUseAsset,auto
us-gaap:Assets,us-gaap:OperatingLeaseRightOfUseAssetAmortizationExpense,auto
us-gaap:Liabilities,us-gaap:OtherAccruedLiabilitiesCurrent,auto
us-gaap:Assets,us-gaap:OtherAssetsCurrent,auto
us-gaap:Assets,us-gaap:OtherAssetsFairValueDisclosure,auto
us-gaap:Assets,us-gaap:OtherAssetsMiscellaneousNoncurrent,auto
us-gaap:Assets,us-gaap:OtherAssetsNoncurrent,auto
us-gaap:Liabilities,us-gaap:OtherComprehensiveIncomeMinimumPensionLiabilityNetAdjustmentNetOfTax,auto
us-gaap:Assets,us-gaap:OtherFiniteLivedIntangibleAssetsGross,auto
us-gaap:Liabilities,us-gaap:OtherLiabilitiesCurrent,auto
us-gaap:Liabilities,us-gaap:OtherLiabilitiesFairValueDisclosure,auto
us-gaap:Liabilities,us-gaap:OtherLiabilitiesNoncurrent,auto
us-gaap:OperatingExpenses,us-gaap:OtherNoncashIncomeExpense,auto
us-gaap:OperatingExpenses,us-gaap:OtherNonoperatingIncomeExpense,auto
us-gaap:Liabilities,us-gaap:OtherSundryLiabilitiesCurrent,auto
us-gaap:Assets,us-gaap:PrepaidExpenseAndOtherAssetsCurrent,auto
us-gaap:OperatingExpenses,us-gaap:PrepaidExpenseCurrent,auto
us-gaap:Assets,us-gaap:ProceedsFromSaleOfOtherProductiveAssets,auto
us-gaap:OperatingExpenses,us-gaap:ResearchAndDevelopmentExpense,auto
us-gaap:OperatingExpenses,us-gaap:ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,auto
us-gaap:Revenues,us-gaap:RevenueRemainingPerformanceObligation,auto
us-gaap:Assets,us-gaap:RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,auto
us-gaap:Revenues,us-gaap:SalesRevenueGoodsNet,auto
us-gaap:OperatingExpenses,us-gaap:SellingGeneralAndAdministrativeExpense,auto
us-gaap:Liabilities,us-gaap:TaxCutsAndJobsActOf2017TransitionTaxForAccumulatedForeignEarningsLiability,auto
us-gaap:OperatingExpenses,us-gaap:UnrecognizedTaxBenefitsIncomeTaxPenaltiesExpense,auto
us-gaap:OperatingExpenses,us-gaap:UnrecognizedTaxBenefitsInterestOnIncomeTaxesExpense,auto
us-gaap:Assets,us-gaap:ValuationAllowanceDeferredTaxAssetChangeInAmount,auto
us-gaap:OperatingExpenses,us-gaap:ValuationAllowancesAndReservesChargedToCostAndExpense,auto
us-gaap:Liabilities,us-gaap:LiabilitiesSubjectToCompromise,auto
us-gaap:Liabilities,us-gaap:LiabilitiesSubjectToCompromiseEarlyContractTerminationFees,auto
us-gaap:OperatingExpenses,us-gaap:PrepaidExpenseNoncurrent,auto
us-gaap:Revenues,us-gaap:BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCapitalLeaseObligation,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsMarketableSecurities,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxAssets,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilities,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,auto
